País de residencia;Tipo de dato;Año;Mes;Total
Rusia;Dato base;2020;11;2426
Suiza;Dato base;2020;11;12990
Alemania;Dato base;2020;12;82722
Bélgica;Dato base;2020;12;37902
Estados Unidos de América;Dato base;2020;12;7150
Francia;Dato base;2020;12;163841
Irlanda;Dato base;2020;12;12596
Italia;Dato base;2020;12;24875
Países Bajos;Dato base;2020;12;21366
Países Nórdicos;Dato base;2020;12;20348
Portugal;Dato base;2020;12;32978
Reino Unido;Dato base;2020;12;109320
Resto América;Dato base;2020;12;24744
Resto de Europa;Dato base;2020;12;67957
Resto del Mundo;Dato base;2020;12;22103
Rusia;Dato base;2020;12;3882
Suiza;Dato base;2020;12;17206
Alemania;Dato base;2021;1;51123
Bélgica;Dato base;2021;1;23971
Estados Unidos de América;Dato base;2021;1;6087
Francia;Dato base;2021;1;117726
Irlanda;Dato base;2021;1;8336
Italia;Dato base;2021;1;22824
Países Bajos;Dato base;2021;1;15914
Países Nórdicos;Dato base;2021;1;19409
Portugal;Dato base;2021;1;28762
Reino Unido;Dato base;2021;1;23260
Resto América;Dato base;2021;1;20679
Resto de Europa;Dato base;2021;1;61573
Resto del Mundo;Dato base;2021;1;19477
Rusia;Dato base;2021;1;3353
Suiza;Dato base;2021;1;15477
Alemania;Dato base;2021;2;36877
Bélgica;Dato base;2021;2;9049
Estados Unidos de América;Dato base;2021;2;5417
Francia;Dato base;2021;2;74937
Irlanda;Dato base;2021;2;3810
Italia;Dato base;2021;2;19660
Países Bajos;Dato base;2021;2;11409
Países Nórdicos;Dato base;2021;2;11824
Portugal;Dato base;2021;2;19887
Reino Unido;Dato base;2021;2;14367
Resto América;Dato base;2021;2;19210
Resto de Europa;Dato base;2021;2;47808
Resto del Mundo;Dato base;2021;2;1515
Rusia;Dato base;2021;2;2532
Suiza;Dato base;2021;2;6673
Alemania;Dato base;2021;3;104567
Bélgica;Dato base;2021;3;12509
Estados Unidos de América;Dato base;2021;3;7188
Francia;Dato base;2021;3;105698
Irlanda;Dato base;2021;3;4061
Italia;Dato base;2021;3;30609
Países Bajos;Dato base;2021;3;18160
Países Nórdicos;Dato base;2021;3;21267
Portugal;Dato base;2021;3;22783
Reino Unido;Dato base;2021;3;19748
Resto América;Dato base;2021;3;25667
Resto de Europa;Dato base;2021;3;70668
Resto del Mundo;Dato base;2021;3;31890
Rusia;Dato base;2021;3;4260
Suiza;Dato base;2021;3;12352
Alemania;Dato base;2021;4;143500
Bélgica;Dato base;2021;4;24223
